h,e,a,d,i,n,g,_,r,o,w
"['EUW1_6955902324', 2, 31, 13, 0, 0, 1, 0, 14, 1, 339, 72, 28494, 28251, 35566, 7, 36, 19, 2, 0, 2, 0, 11, 353, 83, 30853, 31347, 40000, 0]"
"['EUW1_6955704759', 6, 27, 15, 1, 0, 1, 0, 5, 1, 377, 76, 31004, 32333, 35159, 6, 27, 1, 0, 0, 1, 0, 7, 312, 94, 20944, 26574, 26804, 1]"
"['EUW1_6955681034', 7, 37, 15, 0, 1, 0, 0, 5, 1, 366, 95, 29839, 31442, 32921, 6, 26, 12, 0, 0, 0, 0, 3, 374, 117, 28443, 31394, 35391, 1]"
"['EUW1_6955664184', 8, 31, 17, 1, 1, 2, 0, 10, 1, 348, 84, 31055, 31125, 42791, 3, 24, 15, 0, 0, 0, 0, 7, 291, 75, 26067, 28034, 33387, 1]"
"['EUW1_6955474963', 4, 38, 8, 1, 0, 1, 0, 11, 0, 349, 83, 25910, 29905, 30832, 2, 30, 16, 0, 0, 2, 0, 6, 337, 88, 29565, 30529, 39545, 0]"
"['EUW1_6955449821', 7, 36, 21, 1, 0, 3, 0, 12, 1, 375, 116, 33359, 34223, 41875, 3, 33, 11, 1, 0, 0, 0, 2, 367, 83, 26818, 31523, 34747, 1]"
"['EUW1_6955411380', 2, 23, 5, 0, 0, 0, 0, 14, 1, 352, 90, 23551, 27889, 19359, 3, 27, 12, 1, 1, 4, 0, 0, 458, 92, 32132, 33272, 31274, 0]"
"['EUW1_6955378050', 5, 80, 12, 0, 0, 1, 0, 14, 1, 355, 92, 28421, 29866, 31453, 4, 67, 12, 2, 0, 2, 0, 6, 379, 81, 28923, 30920, 37963, 0]"
"['EUW1_6955317156', 2, 27, 11, 0, 0, 1, 0, 11, 0, 338, 78, 27303, 29496, 37176, 4, 218, 22, 1, 0, 2, 0, 6, 353, 104, 31888, 33177, 35039, 0]"
"['EUW1_6955271251', 4, 60, 17, 0, 0, 0, 0, 20, 0, 314, 84, 28840, 28879, 27705, 4, 30, 20, 1, 0, 3, 0, 1, 373, 93, 32631, 33260, 49706, 0]"
"['EUW1_6955226548', 4, 20, 15, 0, 1, 2, 0, 13, 1, 327, 97, 32198, 31421, 30120, 4, 29, 17, 1, 0, 3, 0, 13, 364, 82, 30677, 29378, 34094, 0]"
"['EUW1_6955166193', 6, 304, 20, 0, 0, 3, 0, 10, 1, 359, 84, 34033, 30814, 38507, 2, 21, 10, 1, 0, 0, 0, 7, 346, 84, 25294, 26843, 28576, 1]"
"['EUW1_6955109148', 2, 27, 8, 1, 0, 1, 0, 11, 0, 342, 95, 26552, 28761, 30938, 9, 33, 16, 1, 1, 2, 0, 1, 351, 100, 30254, 32146, 31561, 1]"
"['EUW1_6955070185', 0, 201, 16, 1, 0, 0, 0, 12, 1, 295, 96, 27647, 28579, 35737, 5, 31, 22, 1, 0, 2, 0, 1, 345, 76, 32742, 31589, 42599, 0]"
"['EUW1_6954923842', 4, 28, 10, 1, 1, 1, 0, 6, 0, 389, 80, 26951, 31669, 33884, 8, 30, 12, 1, 0, 0, 0, 6, 341, 94, 25879, 30018, 28411, 1]"
